730	367.667
733.333	368.667
737.333	367.667
738.667	365.667
738.667	365.667
738.667	365.333
739	363.667
738.667	359.333
738.333	358.667
738	358.667
739	357
740	355.667
740	355.667
740	355.333
740	355
740.333	355.333
740.333	355.333
740.333	355.333
740.333	355.333
740.333	355.333
740.333	355.333
740.333	355.333
740.333	355.333
740.333	355.667
740.333	355.667
740.333	355.667
740.333	355.667
740.333	355.667
740.333	355.667
740.333	355.667
740.333	355.667
740.333	355.667
740.333	355.667
740.333	355.667
