679.333	378.667
686.667	376
689.333	361.333
689.333	347
689.667	347
690.333	336.667
691	325.667
688.333	317
686.333	315
686.333	315
685.667	318.333
686.667	325.667
689.667	333.333
690.333	341
690.333	341
691	347
692	353
693.333	357.333
693.667	359.333
693	359.333
692.667	359
691.333	358.667
690.333	357.667
690.333	357.333
691	357.667
692.667	359
693	359.333
693.667	361
695	362.667
695	362.667
695.667	363.333
697	365.667
699	368
705	372.667
692	353.667
693.667	353.333
696	352.333
696.333	352.333
697	352
697.333	345
696.333	339.667
695.333	336
695.333	334.667
695.333	334.667
695.667	334.667
696	334.667
697.333	336
698.333	338.667
698.333	339.333
698.333	340.333
697.333	341.333
697.333	343.333
697.333	343.333
697.333	343.333
697.333	343.333
698.333	342.667
698.333	342.667
698.333	342.667
698.333	342.667
698.333	342.667
698.333	342.667
698.333	342.667
698	343.333
698	343.333
698.333	343.667
698.667	344
698.667	344
699.333	346.333
